code,name,code1,code2,code3,code4
177,豊田市,A3,B08,2,
178,小牧市,A3,B08,2,
179,知立市,A3,B08,2,
180,豊明市,A3,B08,2,
181,弥富市,A3,B08,2,
182,海部郡蟹江町,A3,B08,2,
183,三重県,A3,B09,,ALL
184,岐阜県,A3,B10,,ALL
185,静岡県,A3,B11,,ALL
186,豊中市,A4,B12,1,大阪府北部
187,池田市,A4,B12,1,
188,吹田市,A4,B12,1,
189,高槻市,A4,B12,1,
190,茨木市,A4,B12,1,
191,箕面市,A4,B12,1,
192,摂津市,A4,B12,1,
193,三島郡島本町,A4,B12,1,
194,大阪市北区,A4,B12,2,大阪府中部
195,大阪市中央区,A4,B12,2,
196,大阪市都島区,A4,B12,2,
197,大阪市此花区,A4,B12,2,
198,大阪市西区,A4,B12,2,
199,大阪市大正区,A4,B12,2,
200,大阪市東淀川区,A4,B12,2,
201,大阪市城東区,A4,B12,2,
202,大阪市阿倍野区,A4,B12,2,
203,大阪市住吉区,A4,B12,2,
204,大阪市東住吉区,A4,B12,2,
205,大阪市淀川区,A4,B12,2,
206,大阪市住之江区,A4,B12,2,
207,守口市,A4,B12,2,
208,枚方市,A4,B12,2,
209,八尾市,A4,B12,2,
210,寝屋川市,A4,B12,2,
211,東大阪市,A4,B12,2,
212,大阪市福島区,A4,B12,2,
213,大阪市港区,A4,B12,2,
214,大阪市天王寺区,A4,B12,2,
215,大阪市浪速区,A4,B12,2,
216,大阪市西淀川区,A4,B12,2,
217,大阪市東成区,A4,B12,2,
218,大阪市生野区,A4,B12,2,
219,大阪市旭区,A4,B12,2,
220,大阪市平野区,A4,B12,2,
221,大東市,A4,B12,2,
222,門真市,A4,B12,2,
223,堺市堺区,A4,B12,3,大阪府南部
224,堺市中区,A4,B12,3,
225,堺市東区,A4,B12,3,
226,堺市西区,A4,B12,3,
227,堺市南区,A4,B12,3,
228,堺市北区,A4,B12,3,
229,泉大津市,A4,B12,3,
230,富田林市,A4,B12,3,
231,河内長野市,A4,B12,3,
232,和泉市,A4,B12,3,
233,泉南市,A4,B12,3,
234,阪南市,A4,B12,3,
235,岸和田市,A4,B12,3,
236,貝塚市,A4,B12,3,
237,松原市,A4,B12,3,
238,羽曳野市,A4,B12,3,
239,高石市,A4,B12,3,
240,藤井寺市,A4,B12,3,
241,神戸市中央区,A4,B13,,
242,神戸市東灘区,A4,B13,,
243,神戸市灘区,A4,B13,,
244,神戸市兵庫区,A4,B13,,
245,神戸市長田区,A4,B13,,
246,神戸市須磨区,A4,B13,,
247,神戸市垂水区,A4,B13,,
248,神戸市北区,A4,B13,,
249,神戸市西区,A4,B13,,
250,尼崎市,A4,B13,,
251,明石市,A4,B13,,
252,西宮市,A4,B13,,
253,芦屋市,A4,B13,,
254,伊丹市,A4,B13,,
255,宝塚市,A4,B13,,
256,三田市,A4,B13,,
257,三木市,A4,B13,,
258,京都市北区,A4,B14,,
259,京都市上京区,A4,B14,,
260,京都市中京区,A4,B14,,
261,京都市下京区,A4,B14,,
262,京都市南区,A4,B14,,
263,京都市右京区,A4,B14,,
264,京都市伏見区,A4,B14,,
265,京都市山科区,A4,B14,,
266,京都市西京区,A4,B14,,
267,宇治市,A4,B14,,
268,亀岡市,A4,B14,,
269,八幡市,A4,B14,,
270,木津川市,A4,B14,,
271,久世郡久御山町,A4,B14,,
272,相楽郡精華町,A4,B14,,
273,滋賀県,A4,B15,,ALL
274,奈良市,A4,B16,奈良県,
275,大和郡山市,A4,B16,,
276,橿原市,A4,B16,,
277,桜井市,A4,B16,,
278,香芝市,A4,B16,,
279,北葛城郡上牧町,A4,B16,,
280,北葛城郡広陵町,A4,B16,,
281,北葛城郡河合町,A4,B16,,
282,和歌山県,A4,B17,,ALL
283,岡山県,A5,B18,,ALL
284,広島県,A5,B19,,ALL
285,山口県,A5,B20,,ALL
286,福岡市中央区,A6,B21,1,福岡市
287,福岡市博多区,A6,B21,1,
288,福岡市東区,A6,B21,1,
289,福岡市南区,A6,B21,1,
290,福岡市早良区,A6,B21,1,
291,福岡市西区,A6,B21,1,
292,福岡市城南区,A6,B21,1,
293,北九州市小倉北区,A6,B21,2,北九州市
294,北九州市小倉南区,A6,B21,2,
295,北九州市門司区,A6,B21,2,
296,北九州市戸畑区,A6,B21,2,
297,北九州市八幡東区,A6,B21,2,
298,北九州市八幡西区,A6,B21,2,
299,宗像市,A6,B21,3,福岡市近郊
300,春日市,A6,B21,3,
301,大野城市,A6,B21,3,
302,古賀市,A6,B21,3,
303,水巻町,A6,B21,4,北九州市近郊
304,熊本県,A6,B22,,ALL
305,長崎県,A6,B23,,ALL
